,companyName,refreshTime,jobName,experience,education,companyNatureName,jobCategory,areaName,announcementUrl
202,首都医科大学附属北京佑安医院,2024-03-12 18:00:25,信息网络管理中心科员,应届生,硕士研究生,公立（国有）,医务医辅人员,北京-北京,https://www.gaoxiaojob.com/announcement/detail/194967.html
57,交通运输部长江航务管理局,2024-03-11 18:59:12,"设备保障科网络安全专业技术岗位,交通信息服务科数据管理专业技术岗位",应届生,硕士研究生,公立（国有）,"工作人员（技术人员岗类）,工作人员（技术人员岗类）",湖北-武汉,https://www.gaoxiaojob.com/announcement/detail/194556.html
56,交通运输部烟台打捞局,2024-03-11 18:10:14,打捞工程师3,应届生,硕士研究生,公立（国有）,工作人员（技术人员岗类）,山东-烟台,https://www.gaoxiaojob.com/announcement/detail/194354.html
26,中国地震灾害防御中心,2024-03-11 17:38:12,地震灾害风险数据中心专业技术岗,应届生,硕士研究生,公立（国有）,工作人员（技术人员岗类）,北京-北京,https://www.gaoxiaojob.com/announcement/detail/194165.html
53,丰县教育局,2024-03-11 17:11:12,计算机教师,应届生,硕士研究生,公立（国有）,中职教师岗（专业课类）,江苏-徐州,https://www.gaoxiaojob.com/announcement/detail/194438.html
206,龙南市教育科技体育局,2024-03-08 17:48:39,"计算机教师-阳明中学,数学教师-阳明中学,数学教师-龙南中学",应届生,硕士研究生,公立（国有）,"中小学普通教师岗,中小学普通教师岗,中小学普通教师岗",江西-赣州,https://www.gaoxiaojob.com/announcement/detail/194073.html
21,中国地震台网中心,2024-03-08 17:44:47,信息技术业务岗,应届生,硕士研究生,公立（国有）,工作人员（技术人员岗类）,北京-北京,https://www.gaoxiaojob.com/announcement/detail/194051.html
59,信丰县人民政府,2024-03-08 17:43:11,综合岗3,应届生,硕士研究生,公立（国有）,高层次人才,江西-赣州,https://www.gaoxiaojob.com/announcement/detail/193851.html
117,山东省气象局,2024-03-08 17:40:59,"业务管理岗-山东省气候中心,观测保障岗-山东省气象工程技术中心",应届生,硕士研究生,公立（国有）,"工作人员（技术人员岗类）,工作人员（技术人员岗类）",山东-济南,https://www.gaoxiaojob.com/announcement/detail/193714.html
66,北京市地震局,2024-03-08 17:21:42,"数据质量控制岗,台网运维岗",应届生,硕士研究生,公立（国有）,"工作人员（技术人员岗类）,工作人员（技术人员岗类）",北京-北京,https://www.gaoxiaojob.com/announcement/detail/193768.html
100,国际关系学院#,2024-03-07 18:07:38,"专技岗（教管工作）,专技岗（教学秘书）,专技岗（辅导员）",应届生,硕士研究生,公立（国有）,"教务岗,其他支撑岗,辅导员岗",北京-北京,https://www.gaoxiaojob.com/announcement/detail/193312.html
35,中国烟草机械集团有限责任公司,2024-03-07 17:03:59,软件技术工程师,应届生,硕士研究生,公立（国有）,其他计算机专业人员岗,北京-北京,https://www.gaoxiaojob.com/announcement/detail/193474.html
27,中国大唐集团科技创新有限公司,2024-03-06 20:27:03,工作人员2,应届生,硕士研究生,公立（国有）,其他制造业专业岗,河北-石家庄,https://www.gaoxiaojob.com/announcement/detail/193038.html
163,湖南省地震局,2024-03-06 20:10:49,"信息中心应急服务岗位,邵阳中心站地震监测运维岗位",应届生,硕士研究生,公立（国有）,"工作人员（综合类）,工作人员（技术人员岗类）",湖南-长沙,https://www.gaoxiaojob.com/announcement/detail/193183.html
30,中国机电设备招标中心,2024-03-06 17:48:07,数据岗,应届生,硕士研究生,公立（国有）,其他政府与事业单位岗,北京-北京,https://www.gaoxiaojob.com/announcement/detail/192921.html
37,中国电力工程顾问集团华东电力设计院有限公司,2024-03-06 14:14:33,软件开发工程师,应届生,硕士研究生,公立（国有）,其他计算机专业人员岗,上海-上海,https://www.gaoxiaojob.com/announcement/detail/192745.html
132,广西中烟工业有限责任公司,2024-03-06 14:13:17,"会计（财务信息化）,智能工程师,技术员3",应届生,硕士研究生,公立（国有）,"会计/出纳岗,其他计算机专业人员岗,其他制造业专业岗",广西-南宁,https://www.gaoxiaojob.com/announcement/detail/192748.html
23,中国地震局地球物理研究所#,2024-03-05 20:30:29,科技支撑岗位1,应届生,硕士研究生,公立（国有）,其他科研支撑岗,北京-北京,https://www.gaoxiaojob.com/announcement/detail/192282.html
128,广东第二师范学院#,2024-03-05 20:26:06,"实验员2,会计岗1,专任教师6,专任教师7",应届生,硕士研究生,公立（国有）,"实验技术岗,其他支撑岗,专职教师/教学科研岗,专职教师/教学科研岗",广东-广州,https://www.gaoxiaojob.com/announcement/detail/192433.html
48,中国药科大学#,2024-03-05 20:22:28,"治安管理岗,治安管理岗,校友会办公室（基金会办公室）工作人员,专职辅导员",应届生,硕士研究生,公立（国有）,"其他支撑岗,其他支撑岗,其他支撑岗,辅导员岗",江苏-南京,https://www.gaoxiaojob.com/announcement/detail/192652.html
169,甘肃省地震局,2024-03-05 18:36:48,"兰州岩土地震研究所地震电磁方法技术应用研究岗,兰州国家陆地搜寻与救护基地装备保障岗,信息中心软件系统开发与运维岗,信息中心网络安全保障岗,信息中心西北片区维修中心日常管理岗,地震应急服务中心灾害评估岗,震灾风险防治中心地震环境评价岗,甘肃地震台核心处理系统运行岗,甘肃地震台地震编目岗",应届生,硕士研究生,公立（国有）,"专职科研岗,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）,工作人员（技术人员岗类）",甘肃-兰州,https://www.gaoxiaojob.com/announcement/detail/192455.html
70,北京市西城区人力资源和社会保障局,2024-03-04 19:16:21,选培生四岗,应届生,硕士研究生,公立（国有）,工作人员（综合类）,北京-北京,https://www.gaoxiaojob.com/announcement/detail/192110.html
171,盐城市亭湖区人民政府,2024-03-04 19:14:50,初中信息技术教师,应届生,硕士研究生,公立（国有）,中小学普通教师岗,江苏-盐城,https://www.gaoxiaojob.com/announcement/detail/192123.html
152,河北工业职业技术大学#,2024-03-04 19:13:35,计算机技术系专技岗位1,应届生,硕士研究生,公立（国有）,专职教师/教学科研岗,河北-石家庄,https://www.gaoxiaojob.com/announcement/detail/192136.html
